time,x_filter,u_filter,y_filter,vm_filter,psi_filter,r_filter,rudder_left_RC,rudder_right_RC,rps_readback,bow_readback,winddir,windspeed,n_bt_rps_cmd,ref_x,ref_u,ref_y,ref_vm,ref_psi,ref_r,x_raw,u_dop_raw,y_raw,vm_dop_raw,psi_raw_rad,r_raw_rad,kf_linear_x,kf_linear_u,kf_linear_y,kf_linear_v,kf_linear_psi,kf_linear_r,automode,bowstate,dist_m_lidar,dist_m_lidar_ma,velo_ms_lidar_ma
0,0,0,0,0,0,0,12.40157509,12.7272644,0,0,175,1.919999957,0,0,0,0,0,0,0,0,0,0,0,10.71716309,-0.921630859,0,0,0,0,0,0,0,0,0.910000026,0.990999997,0.090000033
0.1,0,0,0,0,0,0,12.40157509,12.7272644,0,0,160,1.649999976,27,0,0,0,0,0,0,0,0,0,0,10.62927246,-0.823974609,0,0,0,0,0,0,0,0,0.899999976,0.981899917,0.091000795
0.2,0,0,0,0,0,0,12.40157509,12.7272644,0,0,160,1.649999976,22.67294502,0,0,0,0,0,0,0,0,0,0,10.55236816,-0.738525391,0,0,0,0,0,0,0,0,0.896000028,0.973309875,0.085900426
0.3,0,0,0,0,0,0,12.40157509,12.7272644,0,0,160,1.649999976,18.53181648,0,0,0,0,0,0,0,0,0,0,10.4864502,-0.677490234,0,0,0,0,0,0,0,0,0.89200002,0.965178847,0.081310272
0.4,0,0,0,0,0,0,12.40157509,12.7272644,0,0,175,1.809999943,16.65423393,0,0,0,0,0,0,0,0,0,0,10.42053223,-0.622558594,0,0,0,0,0,0,0,0,0.889999986,0.957660973,0.075178742
0.5,0,0,0,0,0,0,12.95275307,12.7272644,0,0,175,1.809999943,18.32500267,0,0,0,0,0,0,0,0,0,0,10.35461426,-0.653076172,0,0,0,0,0,0,0,0,0.89200002,0.951094925,0.065660477
0.6,0,0,0,0,0,0,12.40157509,12.09089661,0,0,175,1.809999943,27,0,0,0,0,0,0,0,0,0,0,10.27770996,-0.848388672,0,0,0,0,0,0,0,0,0.888000011,0.944785476,0.063094497
0.7,0,0,0,0,0,0,12.40157509,12.09089661,0,0,177,1.399999976,27,0,0,0,0,0,0,0,0,0,0,10.18432617,-1.013183594,0,0,0,0,0,0,0,0,0.888000011,0.939106941,0.056785345
0.8,0,0,0,0,0,0,12.95275307,12.7272644,0,0,177,1.399999976,27,0,0,0,0,0,0,0,0,0,0,10.07446289,-1.080322266,0,0,0,0,0,0,0,0,0.88499999,0.93369627,0.054106712
0.9,0,0,0,0,0,0,12.95275307,12.7272644,0,0,169,1.929999948,27,0,0,0,0,0,0,0,0,0,0,9.964599609,-1.104736328,0,0,0,0,0,0,0,0,0.882000029,0.9285267,0.051695704
1,0,0,0,0,0,0,12.40157509,12.7272644,0,0,169,1.929999948,27,0,0,0,0,0,0,0,0,0,0,9.84375,-1.239013672,0,0,0,0,0,0,0,0,0.878000021,0.923474014,0.050526857
1.1,0,0,0,0,0,0,12.95275307,12.7272644,0,0,169,1.929999948,27,0,0,0,0,0,0,0,0,0,0,9.722900391,-1.257324219,0,0,0,0,0,0,0,0,0.874000013,0.91852653,0.049474835
1.2,0,0,0,0,0,0,12.95275307,12.7272644,0,0,149,2.589999914,27,0,0,0,0,0,0,0,0,0,0,9.596557617,-1.306152344,0,0,0,0,0,0,0,0,0.86500001,0.913173854,0.053526759
1.3,0,0,0,0,0,0,12.40157509,12.7272644,0,0,149,2.589999914,27,0,0,0,0,0,0,0,0,0,0,9.470214844,-1.196289063,0,0,0,0,0,0,0,0,0.856000006,0.907456517,0.057173371
1.4,0,0,0,0,0,0,12.40157509,12.7272644,0,0,149,2.589999914,27,0,0,0,0,0,0,0,0,0,0,9.360351563,-1.025390625,0,0,0,0,0,0,0,0,0.853999972,0.902110875,0.053456426
1.5,0,0,0,0,0,0,12.95275307,12.7272644,0,0,145,2.869999886,27,0,0,0,0,0,0,0,0,0,0,9.266967773,-0.9765625,0,0,0,0,0,0,0,0,0.851000011,0.896999717,0.051111579
1.6,0,0,0,0,0,0,12.95275307,12.7272644,0,0,145,2.869999886,27,0,0,0,0,0,0,0,0,0,0,9.16809082,-0.9765625,0,0,0,0,0,0,0,0,0.847000003,0.891999722,0.049999952
1.7,0,0,0,0,0,0,12.40157509,12.7272644,0,0,148,2.819999933,27,0,0,0,0,0,0,0,0,0,0,9.074707031,-0.921630859,0,0,0,0,0,0,0,0,0.842000008,0.886999786,0.049999356
1.8,0,0,0,0,0,0,12.95275307,12.7272644,0,0,148,2.819999933,27,0,0,0,0,0,0,0,0,0,0,8.986816406,-0.848388672,0,0,0,0,0,0,0,0,0.842000008,0.882499814,0.044999719
1.9,0,0,0,0,0,0,12.95275307,12.7272644,0,0,148,2.819999933,27,0,0,0,0,0,0,0,0,0,0,8.904418945,-0.848388672,0,0,0,0,0,0,0,0,0.847000003,0.878949821,0.03549993
2,0,0,0,0,0,0,12.40157509,12.7272644,0,0,149,2.869999886,27,0,0,0,0,0,0,0,0,0,0,8.822021484,-0.805664063,0,0,0,0,0,0,0,0,0.841000021,0.875154793,0.037950277
2.1,0,0,0,0,0,0,12.40157509,12.7272644,0,0,149,2.869999886,27,0,0,0,0,0,0,0,0,0,0,8.745117188,-0.744628906,0,0,0,0,0,0,0,0,0.838999987,0.871539295,0.036154985
2.2,0,0,0,0,0,0,12.40157509,13.36362839,0,0,158,2.5,27,0,0,0,0,0,0,0,0,0,0,8.673706055,-0.714111328,0,0,0,0,0,0,0,0,0.834999979,0.867885292,0.036540031
2.3,0,0,0,0,0,0,12.40157509,13.36362839,0,0,158,2.5,27,0,0,0,0,0,0,0,0,0,0,8.602294922,-0.689697266,0,0,0,0,0,0,0,0,0.832000017,0.864296734,0.035885572
