parameter,params_init
massx_nd,0.24892
massy_nd,0.46457
IzzJzz_nd,0.0286
xuu_nd,-0.00585
xvr_nd,-1.82075
yv_nd,-0.2089
yr_nd,-0.0786
nv_nd,-0.0509
nr_nd,-0.0232
coeff_drag_sway,0.81779
cry_cross_flow,2.15914
crn_cross_flow,0.99643
coeff_drag_fore,-0.02139
coeff_drag_aft,-0.00617
wp0_coeff0,0.652
wp0_coeff1,-0.112
wp0_coeff2,0
wp_coeff0,2.227
wp_coeff1,0.006
wp_coeff2,-0.85
t_prop0_coeff0,0.972
t_prop0_coeff1,-1.04
t_prop0_coeff2,0.845
t_prop_coeff0,0.776
t_prop_coeff1,-0.024
t_prop_coeff2,1.558
kt_coeff0,0.2912
kt_coeff1,-0.2651
kt_coeff2,-0.1304
t_prop,0.28
w_prop_zero,0.51
xp_prop_nd,-0.5
ai_coeff_prop0,-0.00008
ai_coeff_prop1,0.00799
ai_coeff_prop2,-0.00493
ai_coeff_prop3,-0.00587
ai_coeff_prop4,-0.00056
ai_coeff_prop5,0.00508
ai_coeff_prop6,0.0017
ai_coeff_prop7,0.00092
bi_coeff_prop0,0.00004
bi_coeff_prop1,-0.00317
bi_coeff_prop2,0.00196
bi_coeff_prop3,0.00233
bi_coeff_prop4,0.00023
bi_coeff_prop5,-0.00216
bi_coeff_prop6,0.00006
bi_coeff_prop7,0.00006
ci_coeff_prop0,-0.251
ci_coeff_prop1,-0.175
ci_coeff_prop2,0.33
ci_coeff_prop3,-0.233
Jmin,-0.5
alpha_prop,1.5
lr_rudder_nd,-1.08
kx_rudder,0.6
epsilon_rudder,1.42
cpr_rudder,-0.176
gammaN_rudder,0.4406
gammaP_rudder,0.3506
ei_coeff_vec0,0.06
ei_coeff_vec1,0
ei_coeff_vec2,0
fi_coeff_vec0,0.016
fi_coeff_vec1,1.69
fi_coeff_vec2,-1.179
gi_coeff_vec0,-0.159
gi_coeff_vec1,-1.065
gi_coeff_vec2,1.01
asi_coeff_vec0,0.665
asi_coeff_vec1,0.19
asi_coeff_vec2,0.051
asi_coeff_vec3,-0.095
api_coeff_vec0,0.665
api_coeff_vec1,-0.19
api_coeff_vec2,0.051
api_coeff_vec3,0.095
bsi_coeff_vec0,0.015
bsi_coeff_vec1,-0.164
bpi_coeff_vec0,-0.008
bpi_coeff_vec1,0.114
dsi_coeff_vec0,0.088
dsi_coeff_vec1,-0.11
dsi_coeff_vec2,0.162
dpi_coeff_vec0,0.14
dpi_coeff_vec1,0
dpi_coeff_vec2,0
esi_coeff_vec0,0.129
esi_coeff_vec1,-0.259
esi_coeff_vec2,0.343
epi_coeff_vec0,-0.18
epi_coeff_vec1,0.085
epi_coeff_vec2,-0.226
gsi_coeff_vec0,1.791
gsi_coeff_vec1,-1.861
gsi_coeff_vec2,1.348
gpi_coeff_vec0,1
gpi_coeff_vec1,0
gpi_coeff_vec2,0
hsi_coeff_vec0,-2.489
hsi_coeff_vec1,5.243
hsi_coeff_vec2,-4.159
hpi_coeff_vec0,0.343
hpi_coeff_vec1,-0.151
hpi_coeff_vec2,0.657
ksi_coeff_vec0,1.399
ksi_coeff_vec1,-3.239
ksi_coeff_vec2,2.598
kpi_coeff_vec0,0.011
kpi_coeff_vec1,0.176
kpi_coeff_vec2,0.38
rsi_coeff_vec0,0.615
rsi_coeff_vec1,-1.068
rsi_coeff_vec2,-7.823
rsi_coeff_vec3,11.07
rsi_coeff_vec4,2.66
rsi_coeff_vec5,-3.611
rsi_coeff_vec6,2.971
rsi_coeff_vec7,-2.602
rsi_coeff_vec8,-0.864
rsi_coeff_vec9,2.719
rsi_coeff_vec10,15.43
rsi_coeff_vec11,-44.18
rsi_coeff_vec12,2.781
rsi_coeff_vec13,-3.55
rsi_coeff_vec14,-3.787
rsi_coeff_vec15,4.834
rpi_coeff_vec0,6.256
rpi_coeff_vec1,-12.3
rpi_coeff_vec2,8.759
rpi_coeff_vec3,-18.38
rpi_coeff_vec4,10.07
rpi_coeff_vec5,-30.62
rpi_coeff_vec6,13.36
rpi_coeff_vec7,-43.29
rpi_coeff_vec8,6.559
rpi_coeff_vec9,-13.77
rpi_coeff_vec10,-8.238
rpi_coeff_vec11,20.25
rpi_coeff_vec12,9.064
rpi_coeff_vec13,-24.76
rpi_coeff_vec14,-4.256
rpi_coeff_vec15,25.31
Csi_coeff_vec0,0
Csi_coeff_vec1,0.2
Csi_coeff_vec2,0.6
Csi_coeff_vec3,0.4
Cpi_coeff_vec0,0.4
Cpi_coeff_vec1,0.6
Cpi_coeff_vec2,0.2
Cpi_coeff_vec3,0
coeff_urudder_zero,0.14
