,x_position,u_velo,y_position,psi_hat,vm_velo,beta,r_angvelo,n_prop,delta_rudder_p,delta_rudder_s,physical_time,delta_rudder_p_deg,delta_rudder_s_deg,X,Y,N,T,FNp,FT1,FNs,FT2,velocity
0,0,0.437,0,0,0,0,0,8.15,-1.745329,-1.047198,0,-100,-60,-0.22729,0.09281,-0.12356,0.15581,-0.19594,-0.02468,-0.11417,-0.00009,0.46052
1,0,0.437,0,0,0,0,0,8.15,-1.745329,-0.872665,0,-100,-50,-0.21455,0.09947,-0.15436,0.15424,-0.18441,-0.01913,-0.11189,0.00238,0.45523
2,0,0.437,0,0,0,0,0,8.15,-1.745329,-0.698132,0,-100,-40,-0.19819,0.12398,-0.17989,0.15205,-0.17406,-0.01642,-0.11108,0.00529,0.45549
3,0,0.437,0,0,0,0,0,8.15,-1.745329,-0.523599,0,-100,-30,-0.20496,0.19328,-0.27139,0.14884,-0.1596,-0.01549,-0.14569,0.00983,0.4584
4,0,0.437,0,0,0,0,0,8.15,-1.745329,-0.349066,0,-100,-20,-0.15152,0.1782,-0.23859,0.14711,-0.15467,-0.01472,-0.12062,-0.00167,0.4607
5,0,0.437,0,0,0,0,0,8.15,-1.745329,-0.174533,0,-100,-10,-0.14023,0.11413,-0.16855,0.15192,-0.15381,-0.01387,-0.07468,0.00956,0.45471
6,0,0.437,0,0,0,0,0,8.15,-1.745329,0,0,-100,0,-0.13607,0.06312,-0.09104,0.1488,-0.15554,-0.01411,-0.03277,0.01529,0.45513
7,0,0.437,0,0,0,0,0,8.15,-1.745329,0.349066,0,-100,20,-0.16472,-0.05141,0.04668,0.17068,-0.16008,-0.01412,0.04137,0.01392,0.46477
8,0,0.437,0,0,0,0,0,8.15,-1.745329,0.698132,0,-100,40,-0.19183,-0.10806,0.13221,0.17035,-0.15778,-0.01329,0.10557,0.00383,0.44817
9,0,0.437,0,0,0,0,0,8.15,-1.745329,1.047198,0,-100,60,-0.24666,-0.12243,0.14547,0.17521,-0.16125,-0.01445,0.15182,-0.00424,0.45224
10,0,0.437,0,0,0,0,0,8.15,-1.745329,1.396263,0,-100,80,-0.25564,-0.07771,0.09273,0.18184,-0.16231,-0.01398,0.17123,-0.01683,0.45926
11,0,0.437,0,0,0,0,0,8.15,-1.745329,1.745329,0,-100,100,-0.27404,0.00743,-0.04971,0.19594,-0.18101,-0.01532,0.17252,-0.00757,0.46454
12,0,0.437,0,0,0,0,0,8.15,-1.570796,-1.047198,0,-90,-60,-0.23392,0.11306,-0.19064,0.15056,-0.19044,-0.02011,-0.11123,0.00004,0.45368
13,0,0.437,0,0,0,0,0,8.15,-1.570796,-0.872665,0,-90,-50,-0.21371,0.13907,-0.20219,0.15253,-0.18585,-0.01698,-0.11011,0.0029,0.45665
14,0,0.437,0,0,0,0,0,8.15,-1.570796,-0.698132,0,-90,-40,-0.20238,0.16771,-0.23021,0.15527,-0.17413,-0.01406,-0.10924,0.00605,0.45592
15,0,0.437,0,0,0,0,0,8.15,-1.570796,-0.523599,0,-90,-30,-0.19711,0.20994,-0.31029,0.15063,-0.16118,-0.01284,-0.14075,0.01063,0.45456
16,0,0.437,0,0,0,0,0,8.15,-1.570796,-0.349066,0,-90,-20,-0.1591,0.18568,-0.2749,0.15021,-0.15545,-0.01224,-0.11182,-0.00073,0.45344
17,0,0.437,0,0,0,0,0,8.15,-1.570796,-0.174533,0,-90,-10,-0.13291,0.13715,-0.20404,0.15016,-0.15542,-0.01201,-0.0693,0.00978,0.45902
18,0,0.437,0,0,0,0,0,8.15,-1.570796,0,0,-90,0,-0.13418,0.10903,-0.13524,0.14817,-0.15478,-0.01168,-0.02966,0.01588,0.45647
19,0,0.437,0,0,0,0,0,8.15,-1.396263,-1.047198,0,-80,-60,-0.23861,0.16887,-0.2479,0.1488,-0.1942,-0.01928,-0.11294,0.00028,0.4547
20,0,0.437,0,0,0,0,0,8.15,-1.396263,-0.872665,0,-80,-50,-0.23457,0.20308,-0.2707,0.14845,-0.19352,-0.01696,-0.11209,0.00382,0.45841
21,0,0.437,0,0,0,0,0,8.15,-1.396263,-0.698132,0,-80,-40,-0.19707,0.20558,-0.29302,0.14579,-0.17314,-0.01168,-0.11379,0.00701,0.45991
22,0,0.437,0,0,0,0,0,8.15,-1.396263,-0.523599,0,-80,-30,-0.19497,0.22988,-0.34921,0.1584,-0.16087,-0.00985,-0.13696,0.01059,0.45372
23,0,0.437,0,0,0,0,0,8.15,-1.396263,-0.349066,0,-80,-20,-0.15343,0.19857,-0.29692,0.15665,-0.15523,-0.0091,-0.10388,0.0001,0.45304
24,0,0.437,0,0,0,0,0,8.15,-1.396263,-0.174533,0,-80,-10,-0.13954,0.17224,-0.23619,0.1502,-0.1553,-0.00916,-0.06242,0.01037,0.45581
25,0,0.437,0,0,0,0,0,8.15,-1.396263,0,0,-80,0,-0.12767,0.11112,-0.16653,0.15444,-0.15561,-0.00921,-0.02181,0.01607,0.46022
26,0,0.437,0,0,0,0,0,8.15,-1.396263,0.349066,0,-80,20,-0.14987,0.02508,-0.05185,0.16994,-0.1527,-0.00861,0.04688,0.01548,0.45047
27,0,0.437,0,0,0,0,0,8.15,-1.396263,0.698132,0,-80,40,-0.19989,-0.03542,0.04172,0.17379,-0.15839,-0.00916,0.11899,0.00456,0.45673
28,0,0.437,0,0,0,0,0,8.15,-1.396263,1.047198,0,-80,60,-0.2468,-0.04656,0.04111,0.17801,-0.16006,-0.00931,0.16556,-0.00528,0.45833
29,0,0.437,0,0,0,0,0,8.15,-1.396263,1.396263,0,-80,80,-0.26582,-0.00699,-0.01767,0.18459,-0.17036,-0.01286,0.16273,-0.01079,0.45157
30,0,0.437,0,0,0,0,0,8.15,-1.396263,1.745329,0,-80,100,-0.25032,0.09096,-0.13878,0.18924,-0.17664,-0.01524,0.16669,-0.01409,0.45006
31,0,0.437,0,0,0,0,0,8.15,-1.22173,-1.047198,0,-70,-60,-0.2326,0.19483,-0.30365,0.15123,-0.18961,-0.0168,-0.11713,0.00096,0.4548
32,0,0.437,0,0,0,0,0,8.15,-1.22173,-0.872665,0,-70,-50,-0.22813,0.22274,-0.32899,0.14913,-0.19596,-0.01593,-0.11038,0.004,0.45348
33,0,0.437,0,0,0,0,0,8.15,-1.22173,-0.698132,0,-70,-40,-0.21443,0.22933,-0.35459,0.14697,-0.18469,-0.01347,-0.11215,0.00827,0.45297
34,0,0.437,0,0,0,0,0,8.15,-1.22173,-0.523599,0,-70,-30,-0.1981,0.25381,-0.3704,0.153,-0.16292,-0.00815,-0.13198,0.01054,0.46174
35,0,0.437,0,0,0,0,0,8.15,-1.22173,-0.349066,0,-70,-20,-0.15468,0.22273,-0.31438,0.1557,-0.15359,-0.00666,-0.09204,0.00134,0.45774
36,0,0.437,0,0,0,0,0,8.15,-1.22173,-0.174533,0,-70,-10,-0.13053,0.1689,-0.24875,0.15466,-0.15119,-0.00633,-0.05019,0.01066,0.45294
37,0,0.437,0,0,0,0,0,8.15,-1.22173,0,0,-70,0,-0.13127,0.11774,-0.18974,0.15734,-0.15427,-0.00693,-0.01048,0.01533,0.45302
38,0,0.437,0,0,0,0,0,8.15,-1.047198,-1.047198,0,-60,-60,-0.20825,0.2213,-0.32642,0.14631,-0.17271,-0.01206,-0.12541,0.00111,0.45443
39,0,0.437,0,0,0,0,0,8.15,-1.047198,-0.872665,0,-60,-50,-0.21762,0.25213,-0.38096,0.14755,-0.18101,-0.01215,-0.12409,0.00514,0.45271
40,0,0.437,0,0,0,0,0,8.15,-1.047198,-0.698132,0,-60,-40,-0.22025,0.26821,-0.40213,0.14319,-0.18379,-0.01215,-0.12103,0.00938,0.45318
41,0,0.437,0,0,0,0,0,8.15,-1.047198,-0.523599,0,-60,-30,-0.19597,0.27361,-0.38781,0.14513,-0.16696,-0.00893,-0.11675,0.01037,0.45646
42,0,0.437,0,0,0,0,0,8.15,-1.047198,-0.349066,0,-60,-20,-0.13874,0.22727,-0.32925,0.14776,-0.16005,-0.00777,-0.07957,0.00264,0.46079
43,0,0.437,0,0,0,0,0,8.15,-1.047198,-0.174533,0,-60,-10,-0.13445,0.17792,-0.26387,0.15146,-0.15762,-0.00755,-0.03538,0.0106,0.4521
44,0,0.437,0,0,0,0,0,8.15,-1.047198,0,0,-60,0,-0.12511,0.12947,-0.19355,0.15317,-0.15911,-0.00724,0.00177,0.01409,0.45241
45,0,0.437,0,0,0,0,0,8.15,-1.047198,0.349066,0,-60,20,-0.15653,0.03402,-0.06894,0.16397,-0.15465,-0.00567,0.07355,0.00948,0.4508
46,0,0.437,0,0,0,0,0,8.15,-1.047198,0.698132,0,-60,40,-0.19296,-0.02448,0.00259,0.16719,-0.15607,-0.00712,0.13706,-0.00214,0.45995
47,0,0.437,0,0,0,0,0,8.15,-1.047198,1.047198,0,-60,60,-0.24135,-0.02195,0.02497,0.17708,-0.15359,-0.00498,0.18336,-0.01568,0.46133
48,0,0.437,0,0,0,0,0,8.15,-1.047198,1.396263,0,-60,80,-0.22854,0.04977,-0.08803,0.18588,-0.15788,-0.00566,0.17038,-0.00897,0.44957
49,0,0.437,0,0,0,0,0,8.15,-1.047198,1.745329,0,-60,100,-0.24652,0.12577,-0.18987,0.18635,-0.16103,-0.00618,0.17489,-0.0164,0.45176
