,x_position,u_velo,y_position,psi_hat,vm_velo,beta,r_angvelo,n_prop,delta_rudder_p,delta_rudder_s,physical_time,delta_rudder_p_deg,delta_rudder_s_deg,X,Y,N,T,FNp,FT1,FNs,FT2,velocity
0,0,0.437,0,0,0,0,0,8.15,-1.047198,-1.047198,0,-60,-60,-0.20825,0.2213,-0.32642,0.14631,-0.17271,-0.01206,-0.12541,0.00111,0.45443
1,0,0.437,0,0,0,0,0,8.15,-0.872665,-0.872665,0,-50,-50,-0.2005,0.28527,-0.40003,0.14719,-0.15974,-0.00889,-0.14336,0.00534,0.45909
2,0,0.437,0,0,0,0,0,8.15,-0.698132,-0.698132,0,-40,-40,-0.16257,0.27956,-0.40309,0.14399,-0.1338,-0.00269,-0.13274,0.00862,0.4523
3,0,0.437,0,0,0,0,0,8.15,-0.523599,-0.523599,0,-30,-30,-0.08177,0.22519,-0.33074,0.13949,-0.11705,-0.01073,-0.07877,0.00869,0.4514
4,0,0.437,0,0,0,0,0,8.15,-0.349066,-0.349066,0,-20,-20,-0.03531,0.17277,-0.25434,0.14098,-0.08137,-0.00526,-0.05857,0.00295,0.45464
5,0,0.437,0,0,0,0,0,8.15,-0.174533,-0.174533,0,-10,-10,-0.01361,0.08766,-0.12777,0.14542,-0.04866,-0.00018,-0.02115,0.00769,0.45421
6,0,0.437,0,0,0,0,0,8.15,0,0,0,0,0,-0.00327,0.00403,-0.01237,0.14115,-0.01711,0.00355,0.013,0.00774,0.4553
7,0,0.437,0,0,0,0,0,8.15,0.174533,0.174533,0,10,10,-0.01504,-0.08122,0.10101,0.14736,0.01493,0.00346,0.04652,0.00405,0.45366
8,0,0.437,0,0,0,0,0,8.15,0.349066,0.349066,0,20,20,-0.0409,-0.16795,0.23068,0.1415,0.05161,-0.00078,0.08196,-0.0036,0.45509
9,0,0.437,0,0,0,0,0,8.15,0.523599,0.523599,0,30,30,-0.09312,-0.23601,0.32371,0.1462,0.07694,0.00571,0.12002,-0.01503,0.45502
10,0,0.437,0,0,0,0,0,8.15,0.698132,0.698132,0,40,40,-0.14675,-0.29071,0.38507,0.15387,0.11386,0.00447,0.14504,-0.0129,0.45254
11,0,0.437,0,0,0,0,0,8.15,0.872665,0.872665,0,50,50,-0.20301,-0.30168,0.41374,0.15283,0.13453,0.00246,0.17211,-0.01943,0.45938
12,0,0.437,0,0,0,0,0,8.15,1.047198,1.047198,0,60,60,-0.21397,-0.2321,0.31145,0.15864,0.1245,-0.0009,0.1816,-0.01799,0.45917
